time_seconds,position_cm,mass,paddle,trial
2.0333,8.3296,150,none,1
2.0667,9.6124,150,none,1
2.1,11.2257,150,none,1
2.1333,12.9249,150,none,1
2.1667,14.2355,150,none,1
2.2,15.6688,150,none,1
2.2333,16.7195,150,none,1
2.2667,17.3522,150,none,1
2.3,17.7125,150,none,1
2.3333,17.5608,150,none,1
2.3667,17.1568,150,none,1
2.4,16.1183,150,none,1
2.4333,14.8281,150,none,1
2.4667,13.4411,150,none,1
2.5,11.9335,150,none,1
2.5333,10.605,150,none,1
2.5667,9.1347,150,none,1
2.6,8.046,150,none,1
2.6333,7.2838,150,none,1
2.6667,6.6967,150,none,1
2.7,6.6512,150,none,1
2.7333,6.8388,150,none,1
2.7667,7.5755,150,none,1
2.8,8.604,150,none,1
2.8333,9.906,150,none,1
2.8667,11.3353,150,none,1
2.9,12.6475,150,none,1
2.9333,14.0175,150,none,1
2.9667,15.1978,150,none,1
3.0,16.2136,150,none,1
3.0333,16.8287,150,none,1
3.0667,17.0545,150,none,1
3.1,16.8552,150,none,1
3.1333,16.5508,150,none,1
3.1667,15.7277,150,none,1
3.2,14.7506,150,none,1
3.2333,13.4213,150,none,1
3.2667,12.2589,150,none,1
3.3,10.7585,150,none,1
3.3333,9.7013,150,none,1
3.3667,8.5597,150,none,1
3.4,7.749,150,none,1
3.4333,7.256,150,none,1
3.4667,7.2359,150,none,1
3.5,7.613,150,none,1
3.5333,8.1432,150,none,1
3.5667,8.9936,150,none,1
3.6,9.825,150,none,1
3.6333,11.2833,150,none,1
3.6667,12.5269,150,none,1
3.7,13.6466,150,none,1
3.7333,14.7126,150,none,1
3.7667,15.6215,150,none,1
3.8,16.3445,150,none,1
3.8333,16.3926,150,none,1
3.8667,16.3822,150,none,1
3.9,16.1416,150,none,1
3.9333,15.3213,150,none,1
3.9667,14.4127,150,none,1
4.0,13.3646,150,none,1
4.0333,12.0836,150,none,1
4.0667,11.025,150,none,1
4.1,9.8196,150,none,1
4.1333,9.0598,150,none,1
4.1667,8.2919,150,none,1
4.2,8.0558,150,none,1
4.2333,7.7839,150,none,1
4.2667,8.071,150,none,1
4.3,8.3518,150,none,1
4.3333,9.1957,150,none,1
4.3667,10.1782,150,none,1
4.4,11.3649,150,none,1
4.4333,12.2098,150,none,1
4.4667,13.5062,150,none,1
4.5,14.4415,150,none,1
4.5333,15.2989,150,none,1
4.5667,15.7746,150,none,1
4.6,15.9851,150,none,1
4.6333,15.908,150,none,1
4.6667,15.5294,150,none,1
4.7,15.0614,150,none,1
4.7333,14.2294,150,none,1
4.7667,13.4487,150,none,1
4.8,12.1956,150,none,1
4.8333,11.2201,150,none,1
4.8667,10.0883,150,none,1
4.9,9.3424,150,none,1
4.9333,8.756,150,none,1
4.9667,8.4079,150,none,1
5.0,8.3369,150,none,1
5.0333,8.3749,150,none,1
5.0667,8.7104,150,none,1
5.1,9.4883,150,none,1
5.1333,10.3253,150,none,1
5.1667,11.273,150,none,1
5.2,12.1742,150,none,1
5.2333,13.2907,150,none,1
5.2667,14.0792,150,none,1
5.3,14.8396,150,none,1
5.3333,15.3858,150,none,1
5.3667,15.5871,150,none,1
5.4,15.5537,150,none,1
5.4333,15.4366,150,none,1
5.4667,14.7808,150,none,1
5.5,14.037,150,none,1
5.5333,13.2249,150,none,1
5.5667,12.4091,150,none,1
5.6,11.3623,150,none,1
5.6333,10.5136,150,none,1
5.6667,9.8077,150,none,1
5.7,9.0863,150,none,1
5.7333,8.6211,150,none,1
5.7667,8.6563,150,none,1
5.8,8.7721,150,none,1
5.8333,9.0633,150,none,1
5.8667,9.748,150,none,1
5.9,10.458,150,none,1
5.9333,11.1702,150,none,1
5.9667,12.1783,150,none,1
6.0,12.9894,150,none,1
6.0333,13.6723,150,none,1
6.0667,14.4739,150,none,1
6.1,14.8956,150,none,1
6.1333,15.0839,150,none,1
6.1667,15.1967,150,none,1
6.2,14.9738,150,none,1
6.2333,14.4554,150,none,1
6.2667,13.9214,150,none,1
6.3,13.2259,150,none,1
6.3333,12.2664,150,none,1
6.3667,11.5171,150,none,1
6.4,10.696,150,none,1
6.4333,10.1897,150,none,1
6.4667,9.325,150,none,1
6.5,9.1858,150,none,1
6.5333,8.9756,150,none,1
6.5667,9.0834,150,none,1
6.6,9.5472,150,none,1
6.6333,9.8861,150,none,1
6.6667,10.7078,150,none,1
6.7,11.2364,150,none,1
6.7333,12.0891,150,none,1
6.7667,12.7987,150,none,1
6.8,13.4905,150,none,1
6.8333,14.1381,150,none,1
6.8667,14.5356,150,none,1
6.9,14.8077,150,none,1
6.9333,14.6493,150,none,1
6.9667,14.7973,150,none,1
7.0,14.2515,150,none,1
7.0333,13.8697,150,none,1
7.0667,12.9935,150,none,1
7.1,12.369,150,none,1
7.1333,11.8523,150,none,1
7.1667,10.8199,150,none,1
7.2,10.1486,150,none,1
7.2333,9.7365,150,none,1
7.2667,9.4977,150,none,1
7.3,9.3844,150,none,1
7.3333,9.4985,150,none,1
7.3667,9.6313,150,none,1
7.4,9.9499,150,none,1
7.4333,10.6062,150,none,1
7.4667,11.3973,150,none,1
7.5,12.0373,150,none,1
7.5333,12.5384,150,none,1
7.5667,13.3292,150,none,1
7.6,13.977,150,none,1
7.6333,14.4262,150,none,1
7.6667,14.5227,150,none,1
7.7,14.5402,150,none,1
7.7333,14.2692,150,none,1
7.7667,13.9816,150,none,1
7.8,13.5864,150,none,1
7.8333,13.0451,150,none,1
7.8667,12.4055,150,none,1
7.9,11.6552,150,none,1
7.9333,10.9647,150,none,1
7.9667,10.4336,150,none,1
8.0,9.9581,150,none,1
8.0333,9.8043,150,none,1
8.0667,9.4378,150,none,1
8.1,9.6417,150,none,1
8.1333,9.9205,150,none,1
8.1667,10.3753,150,none,1
8.2,10.7528,150,none,1
8.2333,11.4076,150,none,1
8.2667,11.9196,150,none,1
8.3,12.5133,150,none,1
8.3333,13.0921,150,none,1
8.3667,13.7516,150,none,1
8.4,14.0681,150,none,1
8.4333,14.2372,150,none,1
8.4667,14.5111,150,none,1
8.5,14.1234,150,none,1
8.5333,13.9023,150,none,1
8.5667,13.4708,150,none,1
8.6,12.9199,150,none,1
8.6333,12.5507,150,none,1
8.6667,11.8926,150,none,1
8.7,11.0894,150,none,1
8.7333,10.6629,150,none,1
8.7667,10.3235,150,none,1
8.8,10.0756,150,none,1
8.8333,9.7773,150,none,1
8.8667,9.7334,150,none,1
8.9,9.9426,150,none,1
8.9333,10.4086,150,none,1
8.9667,10.8383,150,none,1
9.0,11.3867,150,none,1
9.0333,11.852,150,none,1
9.0667,12.3709,150,none,1
9.1,12.8224,150,none,1
9.1333,13.4486,150,none,1
9.1667,13.7813,150,none,1
9.2,14.0288,150,none,1
9.2333,14.0654,150,none,1
9.2667,13.8923,150,none,1
9.3,13.782,150,none,1
9.3333,13.3091,150,none,1
9.3667,12.8199,150,none,1
9.4,12.3243,150,none,1
9.4333,11.7906,150,none,1
9.4667,11.1527,150,none,1
9.5,10.8816,150,none,1
9.5333,10.5196,150,none,1
9.5667,10.2149,150,none,1
9.6,10.0624,150,none,1
9.6333,10.164,150,none,1
9.6667,10.423,150,none,1
9.7,10.5644,150,none,1
9.7333,10.8991,150,none,1
9.7667,11.3447,150,none,1
9.8,11.8789,150,none,1
9.8333,12.2793,150,none,1
9.8667,12.8337,150,none,1
9.9,13.2453,150,none,1
9.9333,13.6898,150,none,1
9.9667,13.8034,150,none,1
10.0,13.8678,150,none,1
10.0333,13.6537,150,none,1
10.0667,13.5653,150,none,1
10.1,13.1126,150,none,1
10.1333,12.8356,150,none,1
10.1667,12.3955,150,none,1
10.2,11.8299,150,none,1
10.2333,11.5931,150,none,1
10.2667,11.0666,150,none,1
10.3,10.5329,150,none,1
10.3333,10.493,150,none,1
10.3667,10.296,150,none,1
10.4,10.3323,150,none,1
10.4333,10.4953,150,none,1
10.4667,10.7269,150,none,1
10.5,10.8635,150,none,1
10.5333,11.333,150,none,1
10.5667,11.9246,150,none,1
10.6,12.4098,150,none,1
10.6333,12.874,150,none,1
10.6667,13.225,150,none,1
10.7,13.1925,150,none,1
10.7333,13.5924,150,none,1
10.7667,13.4375,150,none,1
10.8,13.6625,150,none,1
10.8333,13.3845,150,none,1
10.8667,13.0054,150,none,1
10.9,12.9121,150,none,1
10.9333,12.4059,150,none,1
10.9667,11.784,150,none,1
11.0,11.5487,150,none,1
11.0333,11.0955,150,none,1
11.0667,10.8574,150,none,1
11.1,10.5933,150,none,1
11.1333,10.625,150,none,1
11.1667,10.3959,150,none,1
11.2,10.6391,150,none,1
11.2333,10.9634,150,none,1
11.2667,11.0414,150,none,1
11.3,11.4762,150,none,1
11.3333,11.8634,150,none,1
11.3667,12.1873,150,none,1
11.4,12.6679,150,none,1
11.4333,12.9485,150,none,1
11.4667,13.1177,150,none,1
11.5,13.4966,150,none,1
11.5333,13.4804,150,none,1
11.5667,13.3605,150,none,1
11.6,13.1795,150,none,1
11.6333,12.9355,150,none,1
11.6667,12.7936,150,none,1
11.7,12.3323,150,none,1
11.7333,12.0079,150,none,1
11.7667,11.5894,150,none,1
11.8,11.3192,150,none,1
11.8333,10.9831,150,none,1
11.8667,10.8527,150,none,1
11.9,10.6667,150,none,1
11.9333,10.7354,150,none,1
11.9667,10.8081,150,none,1
0.0,19.9907,150,small,1
0.0333,19.5218,150,small,1
0.0667,18.5655,150,small,1
0.1,17.1761,150,small,1
0.1333,15.4118,150,small,1
0.1667,13.6124,150,small,1
0.2,11.5372,150,small,1
0.2333,9.7569,150,small,1
0.2667,8.1329,150,small,1
0.3,6.6163,150,small,1
0.3333,5.5858,150,small,1
0.3667,5.2591,150,small,1
0.4,5.3645,150,small,1
0.4333,5.8126,150,small,1
0.4667,6.898,150,small,1
0.5,8.2681,150,small,1
0.5333,9.7697,150,small,1
0.5667,11.4198,150,small,1
0.6,13.0836,150,small,1
0.6333,14.8179,150,small,1
0.6667,15.9529,150,small,1
0.7,16.8631,150,small,1
0.7333,17.4761,150,small,1
0.7667,17.7409,150,small,1
0.8,17.3513,150,small,1
0.8333,16.8002,150,small,1
0.8667,15.8479,150,small,1
0.9,14.6305,150,small,1
0.9333,13.3123,150,small,1
0.9667,11.7391,150,small,1
1.0,10.5143,150,small,1
1.0333,9.1557,150,small,1
1.0667,8.2209,150,small,1
1.1,7.6832,150,small,1
1.1333,7.3291,150,small,1
1.1667,7.2936,150,small,1
1.2,7.5701,150,small,1
1.2333,8.3868,150,small,1
1.2667,9.2142,150,small,1
1.3,10.2854,150,small,1
1.3333,11.4892,150,small,1
1.3667,12.741,150,small,1
1.4,13.6444,150,small,1
1.4333,14.7715,150,small,1
1.4667,15.4579,150,small,1
1.5,15.8271,150,small,1
1.5333,16.092,150,small,1
1.5667,15.8973,150,small,1
1.6,15.3639,150,small,1
1.6333,14.6871,150,small,1
1.6667,13.9451,150,small,1
1.7,12.8045,150,small,1
1.7333,11.8966,150,small,1
1.7667,10.9053,150,small,1
1.8,10.0987,150,small,1
1.8333,9.4115,150,small,1
1.8667,8.9094,150,small,1
1.9,8.7488,150,small,1
1.9333,8.6784,150,small,1
1.9667,8.8802,150,small,1
2.0,9.2718,150,small,1
2.0333,10.0675,150,small,1
2.0667,10.8191,150,small,1
2.1,11.7263,150,small,1
2.1333,12.3877,150,small,1
2.1667,13.2295,150,small,1
2.2,13.8901,150,small,1
2.2333,14.3976,150,small,1
2.2667,14.7251,150,small,1
2.3,14.699,150,small,1
2.3333,14.8043,150,small,1
2.3667,14.4962,150,small,1
2.4,14.0709,150,small,1
2.4333,13.5664,150,small,1
2.4667,12.6835,150,small,1
2.5,11.9971,150,small,1
2.5333,11.3127,150,small,1
2.5667,10.8497,150,small,1
2.6,10.0515,150,small,1
2.6333,9.8712,150,small,1
2.6667,9.5254,150,small,1
2.7,9.4245,150,small,1
2.7333,9.6301,150,small,1
2.7667,9.9979,150,small,1
2.8,10.6391,150,small,1
2.8333,11.0213,150,small,1
2.8667,11.6601,150,small,1
2.9,12.1788,150,small,1
2.9333,12.877,150,small,1
2.9667,13.2195,150,small,1
3.0,13.7833,150,small,1
3.0333,13.8355,150,small,1
3.0667,13.9444,150,small,1
