t,x,y
19.916,-6.416,-9.067
19.95,-6.309,-9.604
19.983,-6.309,-10.14
20.016,-6.38,-10.36
20.05,-6.38,-10.61
20.083,-6.631,-10.14
20.117,-6.631,-9.64
20.217,-6.703,-7.168
20.35,-7.133,-4.518
20.383,-7.133,-4.661
20.417,-7.133,-4.768
20.55,-7.527,-7.276
20.584,-7.527,-8.136
20.617,-7.348,-8.924
20.65,-7.348,-9.927
20.684,-7.312,-9.998
20.717,-7.312,-9.962
20.75,-7.097,-10.21
20.784,-6.774,-10.03
20.817,-6.774,-9.64
20.85,-6.774,-8.852
20.884,-6.524,-8.028
20.917,-6.559,-7.276
20.951,-6.416,-6.667
20.984,-6.38,-5.736
21.017,-6.345,-4.983
21.051,-6.237,-4.518
21.084,-6.201,-4.374
21.117,-6.201,-4.482
21.151,-6.201,-4.84
21.184,-6.201,-5.342
21.217,-6.273,-6.165
21.251,-6.13,-6.882
21.284,-6.309,-7.849
21.318,-6.309,-9.21
21.351,-6.345,-9.568
21.384,-6.38,-10.32
21.418,-6.774,-10.82
21.451,-6.846,-10.61
21.484,-6.918,-10.32
21.518,-6.953,-9.998
21.551,-7.025,-9.353
21.584,-7.312,-8.637
21.618,-7.419,-7.491
21.651,-7.383,-6.559
21.685,-7.383,-6.13
21.718,-7.562,-5.091
21.751,-7.527,-4.231
21.785,-7.527,-3.909
21.818,-7.419,-4.303
21.851,-7.419,-4.804
21.885,-7.491,-5.198
21.918,-7.419,-5.771
21.951,-7.348,-6.81
21.985,-7.312,-7.527
22.018,-7.097,-8.422
22.051,-7.061,-8.924
22.085,-7.061,-9.282
22.118,-6.882,-10.07
22.152,-6.667,-10.18
22.185,-6.595,-10.18
22.218,-6.416,-10.07
22.252,-6.38,-9.783
22.285,-6.309,-9.246
22.318,-6.165,-8.35
22.352,-6.13,-7.312
22.385,-6.058,-6.488
22.418,-6.094,-5.771
22.452,-6.237,-5.27
22.485,-6.38,-4.589
22.519,-6.488,-4.16
22.552,-6.488,-4.374
22.585,-6.631,-4.948
22.619,-6.631,-5.342
22.652,-6.667,-6.631
22.685,-6.703,-7.419
22.719,-6.774,-8.422
22.752,-6.918,-9.282
22.785,-6.953,-10.03
22.819,-7.097,-10.18
22.852,-7.276,-10.32
22.885,-7.276,-10.36
22.919,-7.348,-10.25
22.952,-7.383,-9.676
22.986,-7.312,-8.888
23.019,-7.204,-8.171
23.052,-7.168,-7.383
23.086,-7.168,-6.524
23.119,-7.168,-5.807
23.152,-7.025,-5.413
23.186,-6.989,-5.091
23.219,-6.918,-4.661
23.252,-6.846,-4.697
23.286,-6.703,-4.912
23.319,-6.559,-5.377
23.353,-6.524,-5.915
23.386,-6.524,-6.739
23.419,-6.452,-7.634
23.453,-6.488,-8.064
23.486,-6.452,-8.744
23.519,-6.345,-9.747
23.553,-6.309,-10.03
23.586,-6.309,-10.46
23.619,-6.345,-10.5
23.653,-6.488,-10.11
23.686,-6.631,-9.783
23.72,-6.882,-9.138
23.753,-6.846,-8.207
23.786,-6.918,-7.383
23.82,-6.918,-6.524
23.853,-6.918,-5.807
23.886,-7.133,-4.948
23.92,-7.204,-4.661
23.953,-7.312,-4.589
23.986,-7.348,-4.912
24.02,-7.455,-5.377
24.053,-7.562,-6.058
24.086,-7.598,-6.595
24.12,-7.634,-7.527
24.153,-7.562,-8.207
24.187,-7.383,-9.031
24.22,-7.276,-9.318
24.253,-7.348,-9.676
24.287,-7.348,-9.676
24.32,-7.025,-9.783
24.353,-6.846,-9.712
24.387,-6.739,-9.461
24.42,-6.667,-8.995
24.453,-6.559,-8.422
24.487,-6.452,-7.562
24.52,-6.38,-6.488
24.554,-6.309,-5.807
24.587,-6.237,-5.27
24.62,-6.237,-4.733
24.654,-6.201,-4.446
24.687,-6.201,-4.446
24.72,-6.201,-4.446
24.754,-6.201,-5.27
24.787,-6.309,-6.022
24.82,-6.309,-6.739
24.854,-6.237,-7.67
24.887,-6.273,-8.279
24.921,-6.524,-9.353
24.954,-6.524,-9.927
24.987,-6.595,-10.21
25.021,-6.882,-10.43
25.054,-7.133,-10.36
25.087,-7.276,-10.25
25.121,-7.312,-9.64
25.154,-7.383,-8.637
25.187,-7.383,-7.992
25.221,-7.419,-7.133
25.254,-7.419,-6.094
25.287,-7.455,-5.198
25.321,-7.455,-4.948
25.354,-7.383,-4.482
25.388,-7.383,-4.804
25.421,-7.383,-4.948
25.454,-7.383,-5.449
25.488,-7.312,-6.237
25.521,-7.204,-6.882
25.554,-7.061,-7.67
25.588,-7.025,-8.53
25.621,-7.025,-8.888
25.654,-6.846,-9.783
25.688,-6.774,-9.998
25.721,-6.667,-10.28
25.755,-6.488,-10.36
25.788,-6.273,-10.14
25.821,-6.237,-9.819
25.855,-6.237,-9.174
25.888,-6.201,-8.315
25.921,-6.201,-7.491
25.955,-6.201,-6.559
25.988,-6.201,-5.7
26.021,-6.201,-4.948
26.055,-6.309,-4.41
26.088,-6.452,-4.41
26.121,-6.595,-4.661
26.155,-6.81,-5.127
26.188,-6.846,-5.377
26.222,-6.953,-6.452
26.255,-6.989,-7.491
26.288,-6.953,-8.136
26.322,-6.989,-8.601
26.355,-7.133,-9.461
26.388,-7.348,-10.18
26.422,-7.348,-10.64
26.455,-7.276,-10.64
26.488,-7.025,-10.25
26.522,-7.025,-9.747
26.555,-7.025,-9.497
26.589,-6.953,-8.53
26.622,-6.918,-7.706
26.655,-6.882,-6.953
26.689,-6.81,-6.237
26.722,-6.81,-5.27
